stock_code,year,name,industry,revenue,net_income,roe,gross_margin,total_assets,fixed_assets,size_log,roa
001299,2019,美能能源,燃气Ⅱ,456217313.8,86932273.24,18.81,25.852098038,,,,
688716,2019,中研股份,塑料,111884426.48,13672110.16,6.81,44.5887245969,,,,
688428,2019,诺诚健华,化学制药,1247012.57,-2141387789.33,,,,,,
301507,2019,民生健康,化学制药,350481972.42,43691198.71,14.08,66.737576174,,,,
920971,2019,天马新材,非金属材料Ⅱ,112036329.33,17155118.44,16.62,32.8788539131,,,,
688035,2019,德邦科技,电子化学品Ⅱ,327166438.21,35738002.88,10.81,39.8058668831,,,,
301283,2019,聚胶股份,化学制品,758833381.84,80003155.73,35.32,22.4398125919,,,,
300716,2019,ST泉为,塑料,2032885788.65,25957352.64,3.11,11.724380707,,,,
001255,2019,博菲电气,塑料,194881562.35,36655957.22,28.52,47.7522986309,,,,
688247,2019,宣泰医药,化学制药,138861930.42,4638438.67,1.15,62.051448125,,,,
001376,2019,百通能源,电力,408578215.25,62869390.18,16.44,33.9198567073,,,,
603276,2019,恒兴新材,化学制品,377283400.0,102488900.0,22.46,47.6174408946,,,,
688203,2019,海正生材,塑料,231899970.71,10059774.68,8.32,16.7307833637,,,,
301300,2019,远翔新材,橡胶,276710254.79,43373824.96,28.08,34.8628684698,,,,
301209,2019,联合化学,化学制品,444226759.16,38284023.65,20.13,19.684560776,,,,
001331,2019,胜通能源,燃气Ⅱ,3037179458.49,23400172.79,5.58,1.4790737302,,,,
920834,2019,三维装备,橡胶,184101663.66,24049283.31,18.76,35.6037112468,,,,
688373,2019,盟科药业,化学制药,,-115371843.35,,,,,,
688371,2019,菲沃泰,电子化学品Ⅱ,142843712.67,31685657.58,33.49,79.1590592519,,,,
001325,2019,元创股份,橡胶,678650238.3,95680549.44,21.18,26.5690914692,,,,
688382,2019,益方生物,化学制药,55300000.0,-94985867.58,,85.8822830199,,,,
603255,2019,鼎际得,化学制品,441500649.27,104947043.82,23.41,43.811934723,,,,
001258,2019,立新能源,电力,622592416.54,100860407.14,9.15,59.0580369359,,,,
600380,2019,健康元,化学制药,11980153109.49,894346741.25,8.98,64.3517291592,,,,
603170,2019,宝立食品,调味发酵品Ⅱ,742945537.12,81498332.95,27.64,33.5363146262,,,,
603235,2019,天新药业,化学制品,2024951024.1,727717201.86,43.44,51.1104120442,,,,
002442,2019,龙星科技,橡胶,2805930355.05,19221241.82,1.55,12.2140313067,,,,
601113,2019,华鼎股份,化学纤维,8564710360.89,-1341206316.44,-25.63,29.5073714483,,,,
601089,2019,福元医药,化学制药,2424678371.61,218768501.14,28.71,75.5612752805,,,,
301220,2019,亚香股份,化学制品,510865538.23,84710701.04,15.96,37.0221532823,875819700.0,175019240.86,20.59067080579862,0.09672162094549827
301286,2019,侨源股份,化学制品,779287856.16,262013571.95,36.55,59.4973922916,,,,
301156,2019,美农生物,化学制品,279947749.68,34365656.14,16.63,38.6336596253,,,,
688119,2019,中钢洛耐,装修建材,1819931472.24,134687039.17,32.58,26.1959327838,,,,
920056,2019,能之光,塑料,331807502.85,30499866.76,31.12,20.1117375969,,,,
688129,2019,东来技术,化学制品,467597639.41,81987208.24,29.99,45.4695309301,,,,
920580,2019,科创新材,装修建材,109539368.29,25908385.58,20.3,46.9561482442,,,,
301212,2019,联盛化学,化学制品,545730144.18,58524492.79,23.34,25.3104484649,,,,
688302,2019,海创药业,化学制药,4226549.09,-111704577.2,,93.6397170771,,,,
300110,2019,华仁药业,化学制药,1461940624.48,42066213.53,1.93,56.6307764404,,,,
688295,2019,中复神鹰,化学纤维,415097674.37,26151140.88,7.3,25.5823870951,,,,
301263,2019,泰恩康,化学制药,496388554.65,54904152.57,10.68,42.5209153581,,,,
301258,2019,富士莱,化学制药,452495741.76,145711933.25,28.63,49.8434613844,,,,
301216,2019,万凯新材,塑料,9682441302.26,367151546.29,36.7,7.7644397408,,,,
301237,2019,和顺科技,塑料,236837573.35,35858440.89,18.1,31.4715306257,,,,
301256,2019,华融化学,化学原料,1033931684.39,99324868.74,21.29,23.1011686793,,,,
603051,2019,鹿山新材,化学制品,794973957.26,71942789.53,14.66,20.669854948,,,,
688197,2019,首药控股,化学制药,11547607.66,-39608230.35,-60.64,87.8936697439,,,,
688150,2019,莱特光电,电子化学品Ⅱ,201798623.34,65826262.46,17.29,62.1757022488,,,,
301131,2019,聚赛龙,塑料,999054493.45,47526113.21,15.39,15.8201877622,,,,
301130,2019,西点药业,化学制药,324914216.37,54613470.32,12.84,85.6775138466,,,,
601908,2019,京运通,电力,2057403280.36,263408505.83,3.72,34.4550284491,,,,
688267,2019,中触媒,化学制品,332991699.07,53451261.13,8.81,36.4937431292,,,,
301206,2019,三元生物,化学制品,476759627.29,136306834.38,55.52,45.7731136507,,,,
603150,2019,万朗磁塑,塑料,967492966.5,91361242.62,21.98,32.2891794356,,,,
688062,2019,迈威生物,化学制药,29425705.97,-927893996.7,-121.42,39.0471758323,,,,
300834,2019,星辉环材,塑料,1214542533.39,102077989.18,30.42,14.4779808484,,,,
301196,2019,唯科科技,塑料,699257633.2,95225607.07,14.65,37.1747293341,,,,
688176,2019,亚虹医药,化学制药,0.0,-172425928.62,-5779.03,,,,,
301190,2019,善水科技,化学原料,447359395.4,139108173.97,39.44,52.7866626002,,,,
301211,2019,亨迪药业,化学制药,660018720.56,100289049.96,29.27,51.6336543804,,,,
301100,2019,风光股份,化学制品,643706648.69,125847753.99,19.53,37.9756241399,,,,
688235,2019,百济神州,化学制药,2954000000.0,-6914630000.0,-73.7,83.375084631,,,,
688192,2019,迪哲医药,化学制药,41017537.8,-445753226.53,-113.69,12.658720412,627357925.58,15513096.6,20.2570277899165,-0.7105245799164738
600872,2019,中炬高新,调味发酵品Ⅱ,4674844437.35,717943134.48,19.42,39.5475184271,,,,
603071,2019,物产环能,煤炭开采,32325011728.93,489879907.58,33.95,3.9498438664,,,,
001296,2019,长江材料,非金属材料Ⅱ,861899778.64,104063269.72,12.88,40.7346919585,,,,
600935,2019,华塑股份,化学原料,4567875417.07,500800033.32,19.33,31.1670251043,,,,
301118,2019,恒光股份,化学原料,606528012.86,100497527.72,21.02,35.3985053563,,,,
301149,2019,隆华新材,化学制品,2025946956.29,93316092.44,17.64,9.1521253009,,,,
603213,2019,镇洋发展,化学原料,1136700746.9,127143641.76,27.07,21.877118178,,,,
300537,2019,广信材料,电子化学品Ⅱ,808959388.4,72184681.2,5.56,39.775680157,,,,
301089,2019,拓新药业,化学制药,385963951.49,61251844.11,17.71,41.1677817725,,,,
301090,2019,华润材料,塑料,12384326149.2,413758106.73,17.97,8.182383217,,,,
688553,2019,汇宇制药,化学制药,707076221.2,176944496.57,,93.1701503909,,,,
001289,2019,龙源电力,电力,27579204226.63,4526267232.04,9.19,35.8602812485,,,,
605566,2019,福莱蒽特,化学制品,1102268481.36,258305760.85,40.94,39.1181513662,,,,
301092,2019,争光股份,塑料,435427307.25,70486629.39,28.18,39.0533637093,,,,
920089,2019,禾昌聚合,塑料,569624400.38,23216476.91,5.04,16.3787515138,,,,
301069,2019,凯盛新材,化学原料,658876689.02,137310088.75,26.7,44.8888081865,,,,
688722,2019,同益中,化学纤维,301343224.05,46612702.04,18.11,33.2465718636,,,,
688350,2019,富淼科技,化学制品,1130330548.61,85245957.02,9.6,24.8916431424,,,,
301077,2019,星华新材,化学制品,539050200.24,65316667.75,42.62,28.129688996,,,,
301076,2019,新瀚新材,化学制品,291776830.68,74399376.34,23.47,41.3722326919,,,,
301066,2019,万事利,纺织制造,728513946.41,59660338.81,14.41,37.0135827185,,,,
001217,2019,华尔泰,化学原料,1256911891.55,146139879.84,24.46,26.7017367913,,,,
001218,2019,丽臣实业,化学制品,1993375532.11,131441780.0,28.58,19.4997412795,,,,
301075,2019,多瑞医药,化学制药,449427450.86,71705434.46,68.61,94.8645696751,,,,
301071,2019,力量钻石,非金属材料Ⅱ,221284594.0,63121781.82,19.08,43.9478149211,,,,
301059,2019,金三江,化学制品,198486712.31,57596406.57,35.35,50.7236298432,,,,
