报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期,stock_code
20200930,1329402092.59,1329402092.59,0.0,0.0,0.0,,,1286445499.44,562577789.36,0.0,,0.0,0.0,0.0,0.0,0.0,,17506875.21,27309080.22,611756717.81,61332677.8,5962359.04,6120953.71,0.0,0.0,,,,,,,,,3596337.58,-166035170.14,-4033159.78,,4333.33,-123511065.86,1108224.05,,6549458.82,,-128952300.63,15715130.22,,-144667430.85,-144667430.85,0.0,-146963628.09,,2296197.24,1948567.74,1948567.74,1948567.74,,,1948567.74,,,,,,,,,,,,,,-142718863.11,-145015060.35,2296197.24,-0.27,-0.27,定期报告,未审计,20211030,CNY,合并期末,2020-10-30T10:37:02,900904
20200630,839327318.01,839327318.01,,,,,,789562322.97,374905040.23,,,,,,,,,10159584.52,14246672.96,345401756.29,40254077.22,4595191.75,4488166.42,,0.0,,,,,,,,,2123709.58,-527236.43,-2897682.7,,4333.33,48468118.82,1260803.39,,5687787.41,,44041134.8,12745836.31,,31295298.49,31295298.49,,28530267.49,,2765031.0,-741736.97,-741736.97,-741736.97,,,-741736.97,,,,,,,,,,,,,,30553561.52,27788530.52,2765031.0,0.06,0.06,定期报告,未审计,20210831,CNY,合并期末,2020-08-28T10:42:03,900904
20200331,342993999.78,342993999.78,,,,,,326290690.37,173028519.19,,,,,,,,,5542345.13,1943360.73,120739815.64,19958130.13,5078519.55,,,,,,,,,,,,869560.65,-262362.56,,,,17310507.5,646609.44,,4433048.26,,13524068.68,2515087.56,,11008981.12,11008981.12,,8677484.05,,2331497.07,-7401640.54,-7401640.54,-7401640.54,,,-7401640.54,,,,,,,,,,,,,,3607340.58,1275843.51,2331497.07,0.02,0.02,定期报告,未审计,20210430,CNY,合并期末,2020-04-29T21:27:03,900904
20191231,1927593214.0,1927593214.0,,,,,,1740125095.49,709907977.2,,,,,,,,,26958115.73,19959124.19,881822703.23,91940338.62,9536836.52,8775228.46,,-1582414.77,-1061090.44,,,,,,,,2109892.66,-8910940.09,-70728303.5,,3802.51,108360155.32,2051358.6,,2146886.34,,108264627.58,27696211.73,,80568415.85,80568415.85,,83974764.44,,-3406348.59,-11739025.49,-6895262.99,-6895262.99,,,-6895262.99,,,,,,,,,,,,,-4843762.5,68829390.36,77079501.45,-8250111.09,0.16,0.16,定期报告,是,20210430,CNY,合并期末,2020-04-29T23:17:03,900904
20190930,1420774426.01,1420774426.01,,,,,,1317362874.21,568896138.97,,,,,,,,,20051956.24,19598021.88,620073658.57,80905839.69,7837258.86,7837258.86,,165479.79,,,,,,,,,1434100.0,-6956325.24,,,3802.51,98058608.86,1373304.02,,867997.06,,98563915.82,21040451.68,,77523464.14,77523464.14,,82479016.69,,-4955552.55,7380218.88,7380218.88,7380218.88,,,7380218.88,,7380218.88,,,7380218.88,,,,,,,,,84903683.02,89859235.57,-4955552.55,0.15,0.15,定期报告,未审计,20201031,CNY,合并期末,2020-03-13T09:00:40,900904
20190630,911009600.51,911009600.51,,,,,,840240080.06,364212628.76,,,,,,,,,13690785.86,12122261.07,392320055.49,53020011.29,4874337.59,3763489.64,,165479.79,,,,,,,,,948700.0,-2776976.35,,,2731.12,69109455.01,500982.62,,339110.15,,69271327.48,15993015.76,,53278311.72,53278311.72,,57149229.91,,-3870918.19,9792683.87,9792683.87,9792683.87,,,9792683.87,,9792683.87,,,9792683.87,,,,,,,,,63070995.59,66941913.78,-3870918.19,0.11,0.11,定期报告,未审计,20200829,CNY,合并期末,2020-03-13T09:00:40,900904
20190331,426384693.33,426384693.33,,,,,,399479951.62,185338553.93,,,,,,,,,9113108.89,1355690.42,173654089.14,27709422.56,2309086.68,,,,,,,,,,,,614500.0,-205346.55,,,2731.12,27316626.28,62622.24,,211689.78,,27167558.74,6008749.56,,21158809.18,21158809.18,,23732711.47,,-2573902.29,12084444.17,12084444.17,,,,,,12084444.17,,12084444.17,,12084444.17,,,,,,,,33243253.35,35817155.64,-2573902.29,0.04,0.04,定期报告,未审计,20200430,CNY,合并期末,2020-03-13T09:00:40,900904
20181231,1852905951.98,1852905951.98,,,,,,1725660814.94,723705201.92,,,,,,,,,31425540.94,22847986.95,824687969.68,115213808.41,7780307.04,10341569.54,,427080.62,-432221.77,,,,,,,,15328500.65,-14333067.33,,,332387.74,129000038.72,760071.78,,4792092.21,,124968018.29,26526402.14,,98441616.15,98441616.15,,106091390.95,,-7649774.8,-13540648.23,-13540648.23,,,,,,-13540648.23,,-13540648.23,-13540648.23,,,,,,,,,84900967.92,92550742.72,-7649774.8,0.2,0.2,定期报告,是,20200430,CNY,合并期末,2020-03-13T09:00:40,900904
20180930,1294026311.76,1294026311.76,,,,,,1236389518.02,577224553.91,,,,,,,,,22828758.02,15877442.92,537786990.03,75424496.5,7247276.64,7247276.64,,693822.6,,,,,,,,,14512100.0,45877.96,,,104502.1,72993096.4,761843.31,,1186505.0,,72568434.71,18033876.16,,54534558.55,54534558.55,,64719408.77,,-10184850.22,-9064170.13,-9064170.13,,,,,,-9064170.13,,-9064170.13,-9064170.13,,,,,,,,,45470388.42,55655238.64,-10184850.22,0.12,0.12,定期报告,未审计,20191031,CNY,合并期末,2020-03-13T09:00:40,900904
20180630,857022515.73,857022515.73,,,,,,800860721.28,382188386.43,,,,,,,,,15200302.51,6809153.62,341605902.41,49298871.75,5758104.56,,,,,,,,,,,,12477600.0,-1681255.76,,,101502.1,67059640.79,100864.36,,784042.69,,66376462.46,14365409.55,,52011052.91,52011052.91,,58570939.08,,-6559886.17,-10419768.85,-10419768.85,,,,,,-10419768.85,,-10419768.85,-10419768.85,,,,,,,,,41591284.06,48151170.23,-6559886.17,0.11,0.11,定期报告,未审计,20190831,CNY,合并期末,2020-03-13T09:00:40,900904
