序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,report_date,year
58,874558,赛英电子,1.46,218996937.91,,,43921782.61,,,6.592823682333,23.38,0.790147191667,32.9389463928,,2026-01-27,20221231,2022
59,873855,新富科技,1.54,463665615.41,57.3494459594,,39641961.11,21.0427824195,,2.31,51.11,1.966534344574,25.8552113044,,2026-01-27,20221231,2022
60,873294,创达新材,0.61,311327258.23,,,22726901.96,,,12.399127136113,4.93,1.985141985239,24.7962403642,,2026-01-26,20221231,2022
61,300284,苏交科,0.47,5226528618.69,2.0920729489,63.1495,593489119.46,25.76,174.0893,6.479270139429,7.48,0.207567960372,37.0341410446,工程咨询服务Ⅱ,2026-01-26,20221231,2022
62,601112,振石股份,0.84,5267436923.41,,,774445933.42,,,2.433760358576,37.08,-0.225377173581,24.2985885813,玻璃玻纤,2026-01-23,20221231,2022
63,688785,恒运昌,,158158046.51,,,26187906.56,,,22.914650694795,20.62,1.672267905162,41.4925398727,其他电源设备Ⅱ,2026-01-22,20221231,2022
64,301487,盟固利,0.2299,3233842837.83,14.3991939633,-20.2203,92328568.35,-11.6737872616,-69.9757,4.183810684636,5.65,0.043251339055,7.4241276342,电池,2026-01-21,20221231,2022
65,920119,美德乐,4.04,1031235555.93,,,222499415.18,,,55.479187911852,51.05,20.68080731054,36.8045575269,自动化设备,2026-01-19,20221231,2022
66,002397,梦洁股份,-0.57,2025469970.01,-17.7528920925,44.2039,-432672276.97,-187.48,-539.9505,1.489274786403,-32.77,0.440495801101,33.0217971045,服装家纺,2026-01-17,20221231,2022
67,688712,北芯生命,-0.81,92451879.94,78.6092139616,,-290036742.45,35.4491728971,,2.134920814917,-43.78,-0.4472809125,63.5058120377,医疗器械,2026-01-16,20221231,2022
68,920159,农大科技,1.69,2675603847.74,50.5564504169,,101163473.65,-20.7486636395,,5.294589344333,35.76,3.683604437833,13.2694028703,农化制品,2026-01-15,20221231,2022
69,001220,世盟股份,1.63,807877908.09,41.2675532323,10.5766,112485918.47,65.4213036915,41.6176,7.448611108462,24.2,0.022502774154,19.9475574213,物流,2026-01-15,20221231,2022
70,874637,百瑞吉,0.94,150739928.06,25.4234542731,,31064434.22,100.1162964522,,4.026907852047,27.11,0.789621137121,82.4062729223,,2026-01-14,20221231,2022
71,874468,晨光电机,,494956548.72,,,58272829.43,,,30.869465123471,26.36,9.113829508743,23.2313923732,,2026-01-13,20221231,2022
72,603352,至信股份,0.46,2091069399.94,,,70690958.14,,,7.641170988665,6.17,1.365657666214,20.4252417362,汽车零部件,2026-01-12,20221231,2022
73,920028,新恒泰,0.39,530014176.34,,,45000340.32,,,3.304876690886,12.41,0.095761020454,22.9775752681,塑料,2026-01-09,20221231,2022
74,874502,新恒泰,0.39,530014176.34,,,45000340.32,,,3.304876690886,12.41,0.095761020454,22.9775752681,,2026-01-09,20221231,2022
75,920050,爱舍伦,1.24,573557478.6,0.0311586186,,62801510.85,-37.11860936,,11.77,11.11,1.278590203213,22.211370538,医疗器械,2026-01-08,20221231,2022
76,874042,华脉泰科,-0.69,117434025.82,32.2055036436,,-49238491.66,58.9558041857,,5.969776253052,-11.05,0.027386592052,70.8299387585,,2026-01-06,20221231,2022
77,920045,蘅东光,1.05,475351514.1,19.7407795717,,55334369.21,347.205851968,,5.293359245242,28.31,0.66890496619,28.5043822016,通信设备,2026-01-05,20221231,2022
78,920086,科马材料,0.67,202158533.92,-9.2502030852,,42006348.94,-42.0935862146,,7.34,9.55,0.974751596877,34.9057135515,汽车零部件,2025-12-31,20221231,2022
79,874827,元立光电,,196274184.96,,,14191530.87,,,6.391099643831,9.18,0.256460035446,24.8459311549,,2025-12-31,20221231,2022
80,874811,重数传媒,2.27,277156131.08,2.2118589986,,102019963.21,-12.7746555513,,12.792364547333,19.23,2.632432671333,39.7825085631,,2025-12-31,20221231,2022
81,874790,科州药物,,3421097.04,,,-125309023.54,,,2.890196349227,-93.3,-1.620005905022,-226.4126199706,,2025-12-31,20221231,2022
82,874785,芬尼股份,1.76,1863384432.65,10.0113463523,,183610530.46,82.1030312342,,5.72955748593,36.42,2.023229962365,30.7897001787,,2025-12-31,20221231,2022
83,874654,玉健健康,0.26,284603449.64,,,14069593.06,,,3.938006658158,7.99,-0.306619152122,20.6430091323,,2025-12-31,20221231,2022
84,874589,中水三立,0.31,301758650.73,,,16865460.95,,,2.595008481651,12.37,0.498749228991,30.0559508271,,2025-12-31,20221231,2022
85,874586,方意股份,1.48,192780283.2,,,44513881.22,,,4.09,40.56,1.64,39.9071879774,,2025-12-31,20221231,2022
86,874571,宇特光电,0.76,154067952.28,,,39100408.93,,,3.68088301301,21.29,0.723124968155,49.2845332766,,2025-12-31,20221231,2022
87,874567,辛帕智能,1.1,199470778.24,1.1088325741,,59625220.08,-19.9774272032,,6.818875812604,17.53,-0.464532614419,47.8077795813,,2025-12-31,20221231,2022
88,874526,能源科技,,641693264.84,,,106542562.64,,,1.64997480103,7.48,0.409967390517,40.1447113044,,2025-12-31,20221231,2022
89,874515,云眼视界,1.11,139834238.91,,,16147926.08,,,8.045735610059,14.73,-0.286521094639,40.5249406309,,2025-12-31,20221231,2022
90,874494,新涛智控,1.04,404881733.75,,,51893095.8,,,7.1717220202,15.61,0.6659198408,25.9979873888,,2025-12-31,20221231,2022
91,874411,友邦股份,1.29,234595151.57,,,57894599.96,,,12.39148095,28.85,2.871208298667,30.7439633502,,2025-12-31,20221231,2022
92,874385,斯坦德,0.83,606795691.83,,,45568271.26,,,4.99939402855,19.43,1.857809570744,43.4574556643,,2025-12-31,20221231,2022
93,874335,苏讯新材,5.25,2239145155.7,,,268548662.76,,,12.35911145125,48.62,3.511174542106,17.2448758477,,2025-12-31,20221231,2022
94,874332,文峰光电,1.79,267152566.17,-4.8211976136,,107320644.27,37.6036161992,,6.75,28.14,1.169097162167,65.8798797231,,2025-12-31,20221231,2022
95,874249,邦泽创科,0.13,1070927305.85,-8.4038219723,,7141235.22,97.406903983,,2.73,5.04,1.668619072529,28.8364666577,,2025-12-31,20221231,2022
96,874225,凯龙洁能,0.58,519752607.74,70.6194245839,,94928015.4,167.6533180427,,3.461607639576,18.16,1.107962520788,34.7848009067,,2025-12-31,20221231,2022
